oferta_ganadora,marca,modelo,año,antiguedad,kilometraje,km_por_año,transmisión,combustible,cilindrada,tracción,valor_inicial,numero_pujas,visitas,ratio_oferta_inicial,mandante,numero_propietarios,meses_dueño_actual,funciona,tiene_llaves,es_chatarra,limitaciones_dominio,permiso_circulacion_vigente,revision_tecnica_vigente,tiene_multas,monto_multas_utm
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,1.0,101.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,2.0
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,1,0,0,0,0,1,1,2.5
10000000,HYUNDAI,GRAND I10,2017,8,92424.0,10269.333333333334,MECANICA,GASOLINA,1.2,4X2,1000000,15,3.605,10.0,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,1.5
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,1.0,56.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,2.0
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,1,0,0,0,1,1,1,2.5
3900000,SUZUKI,BALENO,2021,4,22537.0,4507.4,MECANICA,GASOLINA,1.4,4X2,1000000,10,2.805,3.9,Cia. Seguros,2.0,16.0,1,0,0,0,1,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,3.0,50.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,1,0,0,0,0,1,1,13.0
1100000,VOLKSWAGEN,GOL,2018,7,142683.0,17835.375,MECANICA,GASOLINA,1.6,4X2,1000000,2,844.0,1.1,Cia. Seguros,2.0,16.0,1,0,0,0,1,0,1,1.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,1.0,70.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2600000,CHEVROLET,SAIL,2019,6,91293.0,13041.857142857143,MECANICA,GASOLINA,1.5,4X2,1000000,6,1.325,2.6,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
